Date,Price,Open,High,Low,Volume,Chg% 
"May 23, 2017","9,386.15","9,445.05","9,448.05","9,370.00",231.35M,-0.55%
"May 22, 2017","9,438.25","9,480.25","9,498.65","9,427.90",202.88M,0.11%
"May 19, 2017","9,427.90","9,469.90","9,505.75","9,390.75",259.86M,-0.02%
"May 18, 2017","9,429.45","9,453.20","9,489.10","9,418.10",199.34M,-1.01%
"May 17, 2017","9,525.75","9,517.60","9,532.60","9,486.10",211.86M,0.14%
"May 16, 2017","9,512.25","9,461.00","9,517.20","9,456.35",171.71M,0.71%
"May 15, 2017","9,445.40","9,433.55","9,449.25","9,423.10",145.16M,0.47%
"May 12, 2017","9,400.90","9,436.65","9,437.75","9,372.55",159.08M,-0.23%
"May 11, 2017","9,422.40","9,448.60","9,450.65","9,411.30",176.44M,0.16%
"May 10, 2017","9,407.30","9,339.65","9,414.75","9,336.00",157.36M,0.97%
"May 09, 2017","9,316.85","9,337.35","9,338.95","9,307.70",136.42M,0.03%
"May 08, 2017","9,314.05","9,311.45","9,338.70","9,297.95",179.71M,0.31%
"May 05, 2017","9,285.30","9,374.55","9,377.10","9,272.00",239.13M,-0.80%
"May 04, 2017","9,359.90","9,360.95","9,365.65","9,323.25",277.90M,0.51%
"May 03, 2017","9,311.95","9,344.70","9,346.30","9,298.40",156.34M,-0.02%
"May 02, 2017","9,313.80","9,339.85","9,352.55","9,269.90",166.56M,0.10%
"Apr 28, 2017","9,304.05","9,340.95","9,342.65","9,282.25",167.23M,-0.41%
"Apr 27, 2017","9,342.15","9,359.15","9,367.15","9,322.65",215.88M,-0.10%
"Apr 26, 2017","9,351.85","9,336.20","9,367.00","9,301.35",191.40M,0.49%
"Apr 25, 2017","9,306.60","9,273.05","9,309.20","9,250.35",173.90M,0.96%
"Apr 24, 2017","9,217.95","9,135.35","9,225.40","9,130.55",172.91M,1.08%
"Apr 21, 2017","9,119.40","9,179.10","9,183.65","9,088.75",159.98M,-0.19%
"Apr 20, 2017","9,136.40","9,108.10","9,143.90","9,102.65",175.63M,0.36%
"Apr 19, 2017","9,103.50","9,112.20","9,120.50","9,075.15",179.12M,-0.02%
"Apr 18, 2017","9,105.15","9,163.00","9,217.90","9,095.45",179.57M,-0.37%
"Apr 17, 2017","9,139.30","9,144.75","9,160.00","9,120.25",132.24M,-0.13%
